City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,weno,7.4515,151.8468,29.23,79,41,6.07,FM,1718167233
84,saipan,15.1355,145.701,28.39,83,75,2.06,MP,1718167233
85,kapa'a,22.0752,-159.319,29.99,86,100,7.2,US,1718167202
86,altay,47.8667,88.1167,24.6,40,60,3.71,CN,1718167233
87,ca mau,9.1769,105.15,34.81,47,78,5.26,VN,1718167233
88,khovd,48.0056,91.6419,23.05,38,33,4.99,MN,1718166956
89,ghanzi,-21.5667,21.7833,7.3,51,1,4.01,BW,1718167233
90,shakiso,5.75,38.9167,14.87,99,100,0.5,ET,1718167233
91,bredasdorp,-34.5322,20.0403,13.74,73,2,6.11,ZA,1718167234
92,camiri,-20.05,-63.5167,16.12,88,87,0.71,BO,1718167234
93,ushuaia,-54.8,-68.3,-3.19,74,0,3.6,AR,1718167234
94,crane,31.3974,-102.3501,26.19,58,0,8.38,US,1718167234
95,lorengau,-2.0226,147.2712,27.45,80,97,2.71,PG,1718167234
96,edinburgh of the seven seas,-37.0676,-12.3116,12.43,72,50,10.5,SH,1718167234
97,thompson,55.7435,-97.8558,12.09,94,75,3.6,CA,1718167234
98,ancud,-41.8697,-73.8203,11.1,92,100,5.73,CL,1718167234
99,tongchuanshi,35.0806,109.0897,36.63,15,44,5.1,CN,1718167234
100,bilibino,68.0546,166.4372,19.46,32,20,5.34,RU,1718167234
101,kapuskasing,49.4169,-82.4331,16.0,48,75,3.09,CA,1718167142
102,san carlos de bariloche,-41.1456,-71.3082,4.86,93,100,1.03,AR,1718167120
103,hermanus,-34.4187,19.2345,16.56,84,4,8.0,ZA,1718167234
104,soio,-6.1349,12.3689,22.41,92,32,2.5,AO,1718167234
105,luwuk,-0.9516,122.7875,26.13,86,83,2.67,ID,1718167234
106,carnarvon,-24.8667,113.6333,20.63,80,100,3.04,AU,1718167234
107,hotan,37.0997,79.9269,31.58,15,75,1.97,CN,1718167234
108,guerrero negro,27.9769,-114.0611,16.64,87,0,6.84,MX,1718167098
109,lebu,-37.6167,-73.65,13.14,94,100,8.21,CL,1718167234
110,kataba,13.9833,44.3833,22.39,37,15,0.71,YE,1718167234
111,pemangkat,1.1667,108.9667,29.4,74,93,2.68,ID,1718167234
112,juneau,58.3019,-134.4197,14.0,84,40,4.63,US,1718167234
113,badger,64.8,-147.5333,15.76,84,75,0.0,US,1718167234
114,colonia,50.9333,6.95,10.47,88,75,1.03,DE,1718167234
115,al bawiti,28.3492,28.8659,26.49,30,0,3.26,EG,1718167234
116,whitehorse,60.7161,-135.0538,15.57,38,75,4.12,CA,1718167101
117,talnakh,69.4865,88.3972,6.98,74,100,3.09,RU,1718167235
118,hadibu,12.65,54.0333,29.17,72,74,7.25,YE,1718167235
119,coahuayana de hidalgo,18.7,-103.6583,24.76,90,84,0.39,MX,1718167235
120,bethel,41.3712,-73.414,17.64,89,0,2.06,US,1718167143
121,hasaki,35.7333,140.8333,30.16,71,97,5.5,JP,1718167235
122,ciudad melchor muzquiz,27.8833,-101.5167,29.85,46,0,1.47,MX,1718167235
123,bratsk,56.1325,101.6142,23.27,47,6,0.92,RU,1718167235
124,ola,59.5833,151.2833,13.41,82,95,2.57,RU,1718167235
125,danville,36.586,-79.395,18.21,82,75,0.0,US,1718167235
126,lautoka,-17.6167,177.4667,27.92,69,40,4.12,FJ,1718167235
127,conceicao do araguaia,-8.2578,-49.2647,21.2,54,26,0.06,BR,1718167235
128,sinabang,2.4803,96.3801,30.19,65,98,0.81,ID,1718167235
129,huangyan,28.6478,121.2594,24.94,95,100,2.11,CN,1718167235
130,blackmans bay,-43.0167,147.3167,9.07,75,80,0.89,AU,1718167235
131,mount gambier,-37.8333,140.7667,11.86,56,100,2.96,AU,1718167235
132,vicencia,-7.6569,-35.3267,21.85,97,64,2.21,BR,1718167235
133,rhede,51.8333,6.7,10.94,93,87,2.63,DE,1718167235
134,bani suwayf,29.0744,31.0979,27.75,32,0,5.18,EG,1718167235
135,fortuna,40.5982,-124.1573,13.29,90,100,5.14,US,1718167236
136,salamanca,40.8333,-6.0,9.88,88,13,3.9,ES,1718167236
137,burang,30.25,81.1667,10.84,28,0,2.41,CN,1718167236
138,gangarampur,25.4,88.5167,38.35,37,63,3.85,IN,1718167236
139,tromso,69.6496,18.957,10.01,93,75,3.09,NO,1718167236
140,polyarnyy,69.1989,33.4478,6.39,89,86,4.42,RU,1718167236
141,georgetown,5.4112,100.3354,32.97,64,20,1.54,MY,1718166954
142,papatowai,-46.5619,169.4708,5.65,80,100,4.11,NZ,1718167236
143,porto recanati,43.4365,13.6613,21.28,70,98,1.24,IT,1718167236
144,nantucket,41.2835,-70.0995,16.03,100,0,2.57,US,1718167108
145,flying fish cove,-10.4217,105.6791,27.82,83,100,5.14,CX,1718167236
146,kovancilar,38.7214,39.8681,20.73,40,0,1.73,TR,1718167236
147,dunedin,-45.8742,170.5036,7.67,73,97,2.68,NZ,1718167236
